"postal_cd","locale","n_locale","n","percent"
"AK","Urban",3,53,5.66037735849057
"AK","Suburban",2,53,3.77358490566038
"AK","Small Town",6,53,11.3207547169811
"AK","Rural",42,53,79.2452830188679
"AK Clean","Urban",3,37,8.10810810810811
"AK Clean","Suburban",2,37,5.40540540540541
"AK Clean","Small Town",4,37,10.8108108108108
"AK Clean","Rural",28,37,75.6756756756757
"AL","Urban",16,132,12.1212121212121
"AL","Suburban",22,132,16.6666666666667
"AL","Small Town",32,132,24.2424242424242
"AL","Rural",62,132,46.969696969697
"AL Clean","Urban",13,113,11.5044247787611
"AL Clean","Suburban",19,113,16.8141592920354
"AL Clean","Small Town",28,113,24.7787610619469
"AL Clean","Rural",53,113,46.9026548672566
"AR","Urban",14,238,5.88235294117647
"AR","Suburban",14,238,5.88235294117647
"AR","Small Town",62,238,26.0504201680672
"AR","Rural",148,238,62.1848739495798
"AR Clean","Urban",10,148,6.75675675675676
"AR Clean","Suburban",11,148,7.43243243243243
"AR Clean","Small Town",44,148,29.7297297297297
"AR Clean","Rural",83,148,56.0810810810811
"AZ","Urban",37,208,17.7884615384615
"AZ","Suburban",24,208,11.5384615384615
"AZ","Small Town",45,208,21.6346153846154
"AZ","Rural",102,208,49.0384615384615
"AZ Clean","Urban",34,165,20.6060606060606
"AZ Clean","Suburban",22,165,13.3333333333333
"AZ Clean","Small Town",34,165,20.6060606060606
"AZ Clean","Rural",75,165,45.4545454545455
"CA","Urban",146,944,15.4661016949153
"CA","Suburban",306,944,32.4152542372881
"CA","Small Town",157,944,16.6313559322034
"CA","Rural",335,944,35.4872881355932
"CA Clean","Urban",61,363,16.8044077134986
"CA Clean","Suburban",127,363,34.9862258953168
"CA Clean","Small Town",54,363,14.8760330578512
"CA Clean","Rural",121,363,33.3333333333333
"CO","Urban",11,178,6.17977528089888
"CO","Suburban",20,178,11.2359550561798
"CO","Small Town",35,178,19.6629213483146
"CO","Rural",112,178,62.9213483146067
"CO Clean","Urban",5,91,5.49450549450549
"CO Clean","Suburban",14,91,15.3846153846154
"CO Clean","Small Town",20,91,21.978021978022
"CO Clean","Rural",52,91,57.1428571428571
"CT","Urban",14,169,8.28402366863905
"CT","Suburban",83,169,49.112426035503
"CT","Small Town",8,169,4.73372781065089
"CT","Rural",64,169,37.8698224852071
"CT Clean","Urban",13,148,8.78378378378378
"CT Clean","Suburban",71,148,47.972972972973
"CT Clean","Small Town",5,148,3.37837837837838
"CT Clean","Rural",59,148,39.8648648648649
"DC","Urban",1,1,100
"DC Clean","Urban",1,1,100
"DE","Urban",1,16,6.25
"DE","Suburban",9,16,56.25
"DE","Small Town",4,16,25
"DE","Rural",2,16,12.5
"DE Clean","Urban",1,15,6.66666666666667
"DE Clean","Suburban",8,15,53.3333333333333
"DE Clean","Small Town",4,15,26.6666666666667
"DE Clean","Rural",2,15,13.3333333333333
"FL","Urban",10,70,14.2857142857143
"FL","Suburban",27,70,38.5714285714286
"FL","Small Town",14,70,20
"FL","Rural",19,70,27.1428571428571
"FL Clean","Urban",5,55,9.09090909090909
"FL Clean","Suburban",22,55,40
"FL Clean","Small Town",11,55,20
"FL Clean","Rural",17,55,30.9090909090909
"GA","Urban",15,180,8.33333333333333
"GA","Suburban",25,180,13.8888888888889
"GA","Small Town",50,180,27.7777777777778
"GA","Rural",90,180,50
"GA Clean","Urban",15,151,9.93377483443709
"GA Clean","Suburban",24,151,15.8940397350993
"GA Clean","Small Town",43,151,28.476821192053
"GA Clean","Rural",69,151,45.6953642384106
"HI","Suburban",1,1,100
"HI Clean","Suburban",1,1,100
"IA","Urban",13,347,3.7463976945245
"IA","Suburban",15,347,4.32276657060519
"IA","Small Town",77,347,22.1902017291066
"IA","Rural",242,347,69.7406340057637
"IA Clean","Urban",10,255,3.92156862745098
"IA Clean","Suburban",9,255,3.52941176470588
"IA Clean","Small Town",56,255,21.9607843137255
"IA Clean","Rural",180,255,70.5882352941177
"ID","Urban",5,114,4.3859649122807
"ID","Suburban",7,114,6.14035087719298
"ID","Small Town",30,114,26.3157894736842
"ID","Rural",72,114,63.1578947368421
"ID Clean","Urban",5,62,8.06451612903226
"ID Clean","Suburban",5,62,8.06451612903226
"ID Clean","Small Town",15,62,24.1935483870968
"ID Clean","Rural",37,62,59.6774193548387
"IL","Urban",30,860,3.48837209302326
"IL","Suburban",342,860,39.7674418604651
"IL","Small Town",167,860,19.4186046511628
"IL","Rural",321,860,37.3255813953488
"IL Clean","Urban",18,470,3.82978723404255
"IL Clean","Suburban",175,470,37.2340425531915
"IL Clean","Small Town",106,470,22.5531914893617
"IL Clean","Rural",171,470,36.3829787234043
"IN","Urban",28,292,9.58904109589041
"IN","Suburban",50,292,17.1232876712329
"IN","Small Town",63,292,21.5753424657534
"IN","Rural",151,292,51.7123287671233
"IN Clean","Urban",26,258,10.077519379845
"IN Clean","Suburban",45,258,17.4418604651163
"IN Clean","Small Town",55,258,21.3178294573643
"IN Clean","Rural",132,258,51.1627906976744
"KS","Urban",8,285,2.80701754385965
"KS","Suburban",13,285,4.56140350877193
"KS","Small Town",68,285,23.859649122807
"KS","Rural",196,285,68.7719298245614
"KS Clean","Urban",5,187,2.67379679144385
"KS Clean","Suburban",8,187,4.27807486631016
"KS Clean","Small Town",43,187,22.9946524064171
"KS Clean","Rural",131,187,70.0534759358289
"KY","Urban",6,174,3.44827586206897
"KY","Suburban",25,174,14.367816091954
"KY","Small Town",55,174,31.6091954022989
"KY","Rural",88,174,50.5747126436782
"KY Clean","Urban",6,166,3.6144578313253
"KY Clean","Suburban",23,166,13.855421686747
"KY Clean","Small Town",51,166,30.7228915662651
"KY Clean","Rural",86,166,51.8072289156626
"LA","Urban",9,69,13.0434782608696
"LA","Suburban",18,69,26.0869565217391
"LA","Small Town",17,69,24.6376811594203
"LA","Rural",25,69,36.231884057971
"LA Clean","Urban",7,55,12.7272727272727
"LA Clean","Suburban",16,55,29.0909090909091
"LA Clean","Small Town",13,55,23.6363636363636
"LA Clean","Rural",19,55,34.5454545454545
"MA","Urban",10,295,3.38983050847458
"MA","Suburban",194,295,65.7627118644068
"MA","Small Town",19,295,6.44067796610169
"MA","Rural",72,295,24.4067796610169
"MA Clean","Urban",9,215,4.18604651162791
"MA Clean","Suburban",141,215,65.5813953488372
"MA Clean","Small Town",13,215,6.04651162790698
"MA Clean","Rural",52,215,24.1860465116279
"MD","Urban",4,24,16.6666666666667
"MD","Suburban",9,24,37.5
"MD","Small Town",4,24,16.6666666666667
"MD","Rural",7,24,29.1666666666667
"MD Clean","Urban",4,23,17.3913043478261
"MD Clean","Suburban",8,23,34.7826086956522
"MD Clean","Small Town",4,23,17.3913043478261
"MD Clean","Rural",7,23,30.4347826086957
"ME","Urban",5,175,2.85714285714286
"ME","Suburban",18,175,10.2857142857143
"ME","Small Town",17,175,9.71428571428571
"ME","Rural",135,175,77.1428571428571
"ME Clean","Urban",1,115,0.869565217391304
"ME Clean","Suburban",11,115,9.56521739130435
"ME Clean","Small Town",8,115,6.95652173913043
"ME Clean","Rural",95,115,82.6086956521739
"MI","Urban",35,546,6.41025641025641
"MI","Suburban",148,546,27.1062271062271
"MI","Small Town",91,546,16.6666666666667
"MI","Rural",272,546,49.8168498168498
"MI Clean","Urban",13,233,5.5793991416309
"MI Clean","Suburban",63,233,27.0386266094421
"MI Clean","Small Town",42,233,18.0257510729614
"MI Clean","Rural",115,233,49.3562231759657
"MN","Urban",9,334,2.69461077844311
"MN","Suburban",40,334,11.9760479041916
"MN","Small Town",86,334,25.748502994012
"MN","Rural",199,334,59.5808383233533
"MN Clean","Urban",8,253,3.16205533596838
"MN Clean","Suburban",31,253,12.2529644268775
"MN Clean","Small Town",63,253,24.901185770751
"MN Clean","Rural",151,253,59.6837944664032
"MO","Urban",14,520,2.69230769230769
"MO","Suburban",49,520,9.42307692307692
"MO","Small Town",95,520,18.2692307692308
"MO","Rural",362,520,69.6153846153846
"MO Clean","Urban",10,406,2.46305418719212
"MO Clean","Suburban",36,406,8.86699507389163
"MO Clean","Small Town",65,406,16.0098522167488
"MO Clean","Rural",295,406,72.6600985221675
"MS","Urban",5,151,3.3112582781457
"MS","Suburban",10,151,6.62251655629139
"MS","Small Town",52,151,34.4370860927152
"MS","Rural",84,151,55.6291390728477
"MS Clean","Urban",5,109,4.58715596330275
"MS Clean","Suburban",9,109,8.25688073394495
"MS Clean","Small Town",38,109,34.8623853211009
"MS Clean","Rural",57,109,52.2935779816514
"MT","Urban",4,309,1.29449838187702
"MT","Suburban",5,309,1.61812297734628
"MT","Small Town",31,309,10.0323624595469
"MT","Rural",269,309,87.0550161812298
"MT Clean","Urban",4,187,2.13903743315508
"MT Clean","Suburban",5,187,2.67379679144385
"MT Clean","Small Town",21,187,11.2299465240642
"MT Clean","Rural",157,187,83.9572192513369
"NC","Urban",12,115,10.4347826086957
"NC","Suburban",15,115,13.0434782608696
"NC","Small Town",14,115,12.1739130434783
"NC","Rural",74,115,64.3478260869565
"NC Clean","Urban",9,92,9.78260869565217
"NC Clean","Suburban",13,92,14.1304347826087
"NC Clean","Small Town",12,92,13.0434782608696
"NC Clean","Rural",58,92,63.0434782608696
"ND","Urban",3,177,1.69491525423729
"ND","Suburban",2,177,1.12994350282486
"ND","Small Town",10,177,5.64971751412429
"ND","Rural",162,177,91.5254237288136
"ND Clean","Small Town",3,96,3.125
"ND Clean","Rural",93,96,96.875
"NE","Urban",7,249,2.81124497991968
"NE","Suburban",5,249,2.00803212851406
"NE","Small Town",39,249,15.6626506024096
"NE","Rural",198,249,79.5180722891566
"NE Clean","Urban",4,90,4.44444444444444
"NE Clean","Suburban",2,90,2.22222222222222
"NE Clean","Small Town",19,90,21.1111111111111
"NE Clean","Rural",65,90,72.2222222222222
"NH","Urban",2,165,1.21212121212121
"NH","Suburban",36,165,21.8181818181818
"NH","Small Town",17,165,10.3030303030303
"NH","Rural",110,165,66.6666666666667
"NH Clean","Urban",2,85,2.35294117647059
"NH Clean","Suburban",21,85,24.7058823529412
"NH Clean","Small Town",8,85,9.41176470588235
"NH Clean","Rural",54,85,63.5294117647059
"NJ","Urban",9,547,1.64533820840951
"NJ","Suburban",421,547,76.9652650822669
"NJ","Small Town",23,547,4.20475319926874
"NJ","Rural",94,547,17.1846435100548
"NJ Clean","Urban",4,257,1.55642023346304
"NJ Clean","Suburban",198,257,77.0428015564202
"NJ Clean","Small Town",10,257,3.89105058365759
"NJ Clean","Rural",45,257,17.5097276264591
"NM","Urban",4,89,4.49438202247191
"NM","Suburban",4,89,4.49438202247191
"NM","Small Town",28,89,31.4606741573034
"NM","Rural",53,89,59.5505617977528
"NM Clean","Urban",3,62,4.83870967741935
"NM Clean","Suburban",2,62,3.2258064516129
"NM Clean","Small Town",17,62,27.4193548387097
"NM Clean","Rural",40,62,64.5161290322581
"NV","Urban",3,17,17.6470588235294
"NV","Small Town",8,17,47.0588235294118
"NV","Rural",6,17,35.2941176470588
"NV Clean","Urban",3,16,18.75
"NV Clean","Small Town",8,16,50
"NV Clean","Rural",5,16,31.25
"NY","Urban",22,684,3.21637426900585
"NY","Suburban",257,684,37.5730994152047
"NY","Small Town",105,684,15.3508771929825
"NY","Rural",300,684,43.859649122807
"NY Clean","Urban",14,391,3.58056265984655
"NY Clean","Suburban",122,391,31.2020460358056
"NY Clean","Small Town",66,391,16.8797953964194
"NY Clean","Rural",189,391,48.3375959079284
"OH","Urban",19,614,3.09446254071661
"OH","Suburban",204,614,33.2247557003257
"OH","Small Town",118,614,19.2182410423453
"OH","Rural",273,614,44.4625407166124
"OH Clean","Urban",7,365,1.91780821917808
"OH Clean","Suburban",107,365,29.3150684931507
"OH Clean","Small Town",73,365,20
"OH Clean","Rural",178,365,48.7671232876712
"OK","Urban",7,520,1.34615384615385
"OK","Suburban",23,520,4.42307692307692
"OK","Small Town",93,520,17.8846153846154
"OK","Rural",397,520,76.3461538461538
"OK Clean","Urban",7,407,1.71990171990172
"OK Clean","Suburban",17,407,4.17690417690418
"OK Clean","Small Town",71,407,17.4447174447174
"OK Clean","Rural",312,407,76.6584766584767
"OR","Urban",13,180,7.22222222222222
"OR","Suburban",20,180,11.1111111111111
"OR","Small Town",60,180,33.3333333333333
"OR","Rural",87,180,48.3333333333333
"OR Clean","Urban",10,108,9.25925925925926
"OR Clean","Suburban",14,108,12.962962962963
"OR Clean","Small Town",36,108,33.3333333333333
"OR Clean","Rural",48,108,44.4444444444444
"PA","Urban",20,499,4.00801603206413
"PA","Suburban",234,499,46.8937875751503
"PA","Small Town",77,499,15.4308617234469
"PA","Rural",168,499,33.6673346693387
"PA Clean","Urban",11,284,3.87323943661972
"PA Clean","Suburban",139,284,48.943661971831
"PA Clean","Small Town",39,284,13.7323943661972
"PA Clean","Rural",95,284,33.4507042253521
"RI","Urban",2,36,5.55555555555556
"RI","Suburban",25,36,69.4444444444444
"RI","Rural",9,36,25
"RI Clean","Urban",2,34,5.88235294117647
"RI Clean","Suburban",23,34,67.6470588235294
"RI Clean","Rural",9,34,26.4705882352941
"SC","Urban",8,84,9.52380952380952
"SC","Suburban",18,84,21.4285714285714
"SC","Small Town",17,84,20.2380952380952
"SC","Rural",41,84,48.8095238095238
"SC Clean","Urban",8,80,10
"SC Clean","Suburban",17,80,21.25
"SC Clean","Small Town",16,80,20
"SC Clean","Rural",39,80,48.75
"SD","Urban",2,151,1.32450331125828
"SD","Suburban",1,151,0.662251655629139
"SD","Small Town",21,151,13.9072847682119
"SD","Rural",127,151,84.1059602649007
"SD Clean","Urban",1,103,0.970873786407767
"SD Clean","Suburban",1,103,0.970873786407767
